Home,Postcode,Competition
Southampton,SO50 5PE,Men's Western Tier 4
Heriot-Watt,,Men's Scottish Tier 1
Abertay,DD4 7AA,Men's Scottish Tier 2
St Andrews,KY16 9DY,Men's Scottish Tier 4
Bath,BA2 7AY,Men's Premier (National)
Lancaster,LA1 4YQ,Men's Northern Tier 3
Manchester,M14 6HE,Men's Northern Tier 1
Nottingham,NG7 2RJ,Men's Midlands Tier 1
Loughborough,LE11 3TU,ICG Women's Premier (North/South)
Surrey,GU2 7AD,ICG Women's Premier (North/South)
Bournemouth,BH23 6BL,Men's Western Tier 1
Portsmouth,PO4 8LW,Men's South Eastern Tier 1
Hull,,ICG Women's Northern Tier 3
Chester,,ICG Women's Northern Tier 5
Swansea,,ICG Women's Western Tier 3
Nottingham Trent,,ICG Women's Midlands Tier 3
Manchester,M14 6HE,ICG Women's Northern Tier 1
Brighton,,ICG Women's South Eastern Tier 3 
Plymouth,PL6 8BH,Men's Western Tier 1
Cambridge,CB3 0EQ,ICG Women's Premier (North/South)
Kent,CT2 7SR,Men's South Eastern Tier 1
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 1
Kingston,,ICG Women's South Eastern Tier 3 
Bucks New,HP7 9HN,Men's South Eastern Tier 5
Sheffield,S8 8PS,Men's Northern Tier 5 
UWE,BS16 1QY,ICG Women's Western Tier 1
Cumbria,LA1 3DY,ICG Women's Northern Tier 5
Northumbria,,ICG Women's Northern Tier 1
Birmingham,B15 2GR,ICG Women's Premier (National)
Nottingham,NG7 2RJ,Men's Midlands Tier 1
Edinburgh,,Men's Premier (North/South)
Reading,RG6 6UR,Men's Premier (North/South)
Loughborough,LE11 3TU,ICG Women's Premier (National)
Lancaster,LA1 4YQ,ICG Women's Northern Tier 4
Hull,,ICG Women's Northern Tier 5
Cardiff,CF14 3AT,ICG Women's Western Tier 3
St Andrews,KY16 9DY,ICG Women's Scottish Tier 1
Bristol,BS9 2BJ,Men's Western Tier 3
Swansea,,Men's Western Tier 3
King's College  (GKT),SE23 1NW,Men's South Eastern Tier 3
Imperial,UB3 5AQ,Men's Premier (North/South)
Durham,DH1 3SE,ICG Women's Premier (National)
Nottingham,NG7 2PS,ICG Women's Premier (North/South)
King's College,SE23 1NW,ICG Women's Premier (North/South)
UCL,W4 2SH,ICG Women's Premier (North/South)
Exeter,EX4 4QN,Men's Western Tier 1
Kent,CT2 7SR,ICG Women's South Eastern Tier 5
Harper Adams,,ICG Women's Midlands Tier 3
Lincoln,,Men's Midlands Tier 2
Solent,,Men's Western Tier 3
Cambridge,CB3 0EQ,Men's Premier (North/South)
Canterbury CC,CT3 4AF,ICG Women's South Eastern Tier 4
Sheffield,S8 8PS,ICG Women's Northern Tier 1
Northampton,NN3 7QL,ICG Women's Midlands Tier 4
Loughborough,LE11 3TU,Men's Premier (National)
Oxford,OX4 1SR,Men's Midlands Tier 1
Leeds,LS16 5AU,ICG Women's Premier (North/South)
Hertfordshire,,ICG Women's South Eastern Tier 2 
Staffordshire,ST15 0BW,ICG Women's Midlands Tier 4
Kent,CT2 7SR,ICG Women's South Eastern Tier 3 
Manchester,M14 6HE,Men's Northern Tier 2
Durham,DH1 3SE,Men's Premier (National)
Nottingham,NG7 2PS,Men's Premier (North/South)
Liverpool,L18 6HF,ICG Women's Premier (North/South)
Sheffield,S8 8PS,Men's Northern Tier 1
Leeds,LS16 5AU,Men's Premier (North/South)
Loughborough,LE11 3TU,Men's Premier (North/South)
King's College  (GKT),SE23 1NW,Men's Premier (North/South)
Cardiff,CF14 3AT,ICG Women's Western Tier 1
Newcastle,NE12 8AD,Men's Northern Tier 1
Durham,DH1 3SE,ICG Women's Northern Tier 2
City,,ICG Women's South Eastern Tier 4
Glasgow,G20 0SP,Men's Scottish Tier 1
Cardiff Met,,ICG Women's Premier (National)
Nottingham,NG7 2PS,Men's Premier (National)
Southampton,SO50 5PE,ICG Women's Western Tier 1
Aberdeen,,ICG Women's Scottish Tier 4
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 4
Abertay,,ICG Women's Scottish Tier 5
Swansea,,ICG Women's Western Tier 4
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 5
Bristol,BS9 2BJ,ICG Women's Western Tier 2
Sheffield,S8 8PS,Men's Northern Tier 4
York St John,,Men's Northern Tier 5 
Sheffield Hallam,,Men's Northern Tier 2
Surrey,GU2 7AD,Men's South Eastern Tier 3
Liverpool John Moores,,ICG Women's Northern Tier 2
Cardiff  (Medics),,ICG Women's Western Tier 3
Swansea,,Men's Western Tier 2
Manchester,M14 6HE,Men's Northern Tier 3
Edinburgh Napier,,Men's Scottish Tier 4
Abertay,DD4 7AA,Men's Scottish Tier 2
Edinburgh Napier,,ICG Women's Scottish Tier 3
Manchester,M14 6HE,Men's Northern Tier 2
Edge Hill,L39 4QP,Men's Northern Tier 2
Bath,BA2 7AY,Men's Western Tier 2
Exeter,EX4 4QN,Men's Premier (National)
Keele,,Men's Northern Tier 3
Durham,DH1 3SE,Men's Northern Tier 3
Nottingham,NG7 2RJ,Men's Midlands Tier 3
Bath,BA2 7AY,Men's Western Tier 3
Cardiff,CF14 3AT,Men's Western Tier 3
Portsmouth,PO4 8LW,Men's South Eastern Tier 3
St George's,,Men's South Eastern Tier 3
Nottingham,NG7 2PS,ICG Women's Premier (North/South)
Leicester,LE2 2LL,Men's Midlands Tier 4
Oxford Brookes,OX3 0GB,Men's Midlands Tier 4
York,YO10 5NA,Men's Northern Tier 5 
Liverpool Hope,L18 6HF,ICG Women's Northern Tier 3
Leeds,LS16 5AU,ICG Women's Northern Tier 3
Warwick,CV4 8AH,ICG Women's Midlands Tier 2 
East Anglia,NR4 7TJ,ICG Women's Midlands Tier 2 
Newcastle,NE12 8AD,ICG Women's Northern Tier 5
Bristol,BS9 2BJ,ICG Women's Western Tier 3
Bournemouth,BH23 6BL,ICG Women's Western Tier 2
Royal Agricultural,,ICG Women's Western Tier 5
Royal Holloway,,ICG Women's South Eastern Tier 2 
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 4
Nottingham Trent,,ICG Women's Midlands Tier 3
Lincoln,,ICG Women's Midlands Tier 3
Plymouth,PL6 8BH,ICG Women's Western Tier 2
Kingston,,Men's South Eastern Tier 2
Sussex,,Men's South Eastern Tier 3
Wrexham Glyndwr,LL11 2AW,Men's Northern Tier 4
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 4
UWE,,ICG Women's Western Tier 4
Imperial,TW7 4NQ,ICG Women's South Eastern Tier 2 
Kent,CT2 7SR,ICG Women's South Eastern Tier 2 
Brighton,,ICG Women's South Eastern Tier 3 
City,,ICG Women's South Eastern Tier 4
Imperial  (Medics),UB3 5AQ,ICG Women's South Eastern Tier 5
USW,,ICG Women's Western Tier 2
Roehampton,SW15 5JQ,ICG Women's South Eastern Tier 5
Robert Gordon,AB24 5RU,Men's Scottish Tier 4
Coventry,CV4 8GP,Men's Midlands Tier 2
Aston,,Men's Midlands Tier 2
Birmingham City,B42 2TP,Men's Midlands Tier 3
Bristol,BS9 2BJ,Men's Western Tier 3
Lancaster,LA1 4YQ,ICG Women's Northern Tier 4
Sheffield,S8 8PS,ICG Women's Northern Tier 5
Harper Adams,,ICG Women's Midlands Tier 3
Chester,,Men's Northern Tier 2
Oxford,OX4 1SR,ICG Women's Midlands Tier 2 
Birmingham,B15 2GR,ICG Women's Midlands Tier 2 
Edinburgh,,ICG Women's Scottish Tier 3
Bath,BA2 7AY,Men's Western Tier 2
Cardiff,CF14 3AT,Men's Western Tier 2
Leeds,LS16 5AU,Men's Northern Tier 2
Loughborough,LE11 3TU,Men's Midlands Tier 3
Sheffield Hallam,,Men's Northern Tier 4
Southampton,SO50 5PE,Men's Western Tier 4
Leeds,LS16 5AU,ICG Women's Northern Tier 2
Liverpool John Moores,,ICG Women's Northern Tier 4
Bournemouth,BH23 6BL,ICG Women's Western Tier 4
St George's,,ICG Women's South Eastern Tier 2 
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 3
Edge Hill,L39 4QP,ICG Women's Northern Tier 5
St Andrews,KY16 9DY,Men's Scottish Tier 3
Warwick,CV4 8AH,Men's Midlands Tier 2
Leicester,LE2 2LL,Men's Midlands Tier 2
LSE,E20 3AD,Men's South Eastern Tier 2
Leeds Beckett,LS6 3QQ,Men's Northern Tier 3
UWE,BS16 1QY,Men's Western Tier 3
King's College  (GKT),SE23 1NW,Men's South Eastern Tier 3
Manchester,M14 6HE,Men's Northern Tier 4
Exeter,EX4 4QN,ICG Women's Premier (National)
Swansea,,Men's Western Tier 4
Queen Mary  (Barts),,ICG Women's South Eastern Tier 1
Salford,WA15 7LU,ICG Women's Northern Tier 3
Manchester,M14 6HE,ICG Women's Northern Tier 5
East Anglia,NR4 7TJ,ICG Women's Midlands Tier 4
Bristol,BS9 2BJ,ICG Women's Western Tier 2
Imperial,TW7 4NQ,ICG Women's South Eastern Tier 5
Royal Holloway,,ICG Women's South Eastern Tier 4
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 4
Imperial,UB3 5AQ,Men's South Eastern Tier 4
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 3
Plymouth,PL6 8BH,Men's Western Tier 4
Anglia Ruskin,CB3 0EQ,Men's Midlands Tier 4
Brighton,,Men's South Eastern Tier 2
Northumbria,,ICG Women's Northern Tier 4
Wrexham Glyndwr,LL11 2AW,ICG Women's Northern Tier 5
Coventry,CV4 8GP,Men's Midlands Tier 4
Heriot-Watt,,Men's Scottish Tier 3
Robert Gordon,AB24 5RU,ICG Women's Scottish Tier 5
Edinburgh,,ICG Women's Scottish Tier 4
Loughborough,LE11 3TU,Men's Midlands Tier 2
Bristol,BS9 2BJ,Men's Western Tier 4
Lancaster,LA1 4YQ,Men's Northern Tier 5 
Worcester,WR3 7SW,ICG Women's Midlands Tier 4
Bath,BA2 7AY,ICG Women's Western Tier 3
Birmingham City,B42 2TP,ICG Women's Midlands Tier 3
Newcastle,NE12 8AD,Men's Northern Tier 4
St Andrews,KY16 9DY,Men's Scottish Tier 4
Oxford,OX4 1SR,Men's Premier (North/South)
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 4
Kent,CT2 7SR,Men's South Eastern Tier 4
Dundee,DD2 1UQ,ICG Women's Scottish Tier 5
Birmingham,B15 2GR,Men's Midlands Tier 2
Staffordshire,ST15 0BW,Men's Midlands Tier 3
Cumbria,LA1 3DY,Men's Northern Tier 4
Surrey,GU2 7AD,Men's South Eastern Tier 1
Durham,DH1 3SE,ICG Women's Northern Tier 3
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 2 
Bath Spa,,ICG Women's Western Tier 4
LSE,E20 3AD,ICG Women's South Eastern Tier 3 
Northumbria,,Men's Northern Tier 2
Exeter,EX4 4QN,Men's Premier (North/South)
Exeter,EX4 4QN,ICG Women's Premier (North/South)
King's College,SE23 1NW,Men's South Eastern Tier 5
Manchester Met,M14 6HE,ICG Women's Northern Tier 2
York,YO10 5NA,ICG Women's Northern Tier 2
Liverpool,L18 6HF,ICG Women's Northern Tier 4
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 5
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 3 
Edinburgh,,Men's Scottish Tier 1
Edinburgh,,ICG Women's Scottish Tier 5
Cambridge,CB3 0EQ,Men's Premier (North/South)
Sussex,,ICG Women's South Eastern Tier 2 
St Andrews,KY16 9DY,ICG Women's Scottish Tier 4
Newcastle,NE12 8AD,Men's Northern Tier 3
Oxford,OX4 1SR,Men's Midlands Tier 3
Cardiff,CF14 3AT,ICG Women's Premier (North/South)
Cardiff Met,,ICG Women's Western Tier 3
Bradford,,Men's Northern Tier 5 
Liverpool,L18 6HF,ICG Women's Northern Tier 2
Newcastle,NE12 8AD,ICG Women's Northern Tier 5
Cardiff Met,,ICG Women's Western Tier 2
Oxford,OX4 1SR,ICG Women's Midlands Tier 2 
Kingston,,Men's South Eastern Tier 2
York,YO10 5NA,ICG Women's Northern Tier 4
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 1
Warwick,CV4 8AH,Men's Midlands Tier 3
Oxford Brookes,OX3 0GB,Men's Midlands Tier 3
Manchester,M14 6HE,Men's Northern Tier 1
Bath,BA2 7AY,Men's Western Tier 3
Swansea,,Men's Western Tier 4
Bournemouth,BH23 6BL,Men's Western Tier 1
York,YO10 5NA,Men's Northern Tier 5 
Southampton,SO50 5PE,ICG Women's Western Tier 1
Brunel,UB8 3PH,ICG Women's South Eastern Tier 1
Liverpool Hope,L18 6HF,ICG Women's Northern Tier 3
Manchester Met,M14 6HE,ICG Women's Northern Tier 5
Oxford Brookes,OX4 1SR,ICG Women's Midlands Tier 2 
Leeds,LS16 5AU,ICG Women's Northern Tier 5
Newcastle,NE12 8AD,ICG Women's Northern Tier 5
St Mary's,TW11 9BE,ICG Women's South Eastern Tier 2 
Manchester,M14 6HE,ICG Women's Northern Tier 1
Nottingham Trent,,Men's National Championship
UCL,W4 2SH,Men's South Eastern Tier 3
Aberdeen,,Men's Scottish Tier 1
Canterbury CC,CT3 4AF,Men's South Eastern Tier 1
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 1
Brighton,,ICG Women's South Eastern Tier 1
LSE,E20 3AD,ICG Women's South Eastern Tier 4
Bristol,BS9 2BJ,ICG Women's Western Tier 3
Strathclyde,G33 6ND,Men's Scottish Tier 1
Sheffield,S8 8PS,ICG Women's Northern Tier 5
Newcastle,NE12 8AD,Men's Northern Tier 3
Wrexham Glyndwr,LL11 2AW,Men's Northern Tier 4
Cardiff,CF14 3AT,Men's Western Tier 1
Nottingham,NG7 2RJ,Men's Midlands Tier 1
Surrey,GU2 7AD,Men's South Eastern Tier 1
Birmingham,B15 2GR,ICG Women's Midlands Tier 1
Sheffield Hallam,,ICG Women's Northern Tier 3
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 3
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 5
Exeter,EX4 4QN,ICG Women's Western Tier 1
Glasgow,G20 0SP,Men's Scottish Tier 2
Royal Holloway,,Men's South Eastern Tier 2
Bristol,BS9 2BJ,Men's Western Tier 1
Warwick,CV4 8AH,Men's Midlands Tier 1
Cambridge,CB3 0EQ,Men's Midlands Tier 1
Portsmouth,PO4 8LW,ICG Women's South Eastern Tier 1
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 5
Swansea,,ICG Women's Western Tier 3
UCL,W4 2SH,ICG Women's South Eastern Tier 5
Durham,DH1 3SE,ICG Women's National Championship
Nottingham,NG7 2PS,ICG Women's National Championship
Anglia Ruskin,CB3 0EQ,Men's Midlands Tier 4
Solent,,Men's Western Tier 3
Brighton,,ICG Women's South Eastern Tier 3 
LSE,E20 3AD,Men's South Eastern Tier 4
East Anglia,NR4 7TJ,Men's Midlands Tier 4
Coventry,CV4 8GP,Men's Midlands Tier 2
Loughborough,LE11 3TU,ICG Women's Midlands Tier 1
Cardiff  (Medics),CF14 3AT,ICG Women's Western Tier 1
Bath,BA2 7AY,ICG Women's Western Tier 3
Newcastle,NE12 8AD,Men's Northern Tier 1
Kent,CT2 7SR,ICG Women's South Eastern Tier 2 
Birmingham,B15 2GR,ICG Women's Midlands Tier 1
Surrey,GU2 7AD,ICG Women's South Eastern Tier 4
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 4
Northumbria,,Men's Northern Tier 5 
Leicester,LE2 2LL,ICG Women's Midlands Tier 4
Glasgow Caledonian,G40 1HB,ICG Women's Scottish Tier 5
Liverpool,L18 6HF,Men's Northern Tier 1
Durham,DH1 3SE,ICG Women's Northern Tier 1
Exeter,EX4 4QN,Men's National Championship
Derby,DE22 1JD,ICG Women's Midlands Tier 3
Bradford,,Men's Northern Tier 5 
York,YO10 5NA,ICG Women's Northern Tier 4
Arts London,E20 3AD,ICG Women's South Eastern Tier 4
Abertay,,ICG Women's Scottish Tier 5
Northumbria,,ICG Women's Northern Tier 4
Gloucestershire,GL2 9DW,ICG Women's Western Tier 2
Bristol,BS9 2BJ,Men's Western Tier 4
Sheffield,S8 8PS,ICG Women's Northern Tier 4
Stirling,FK9 4LA,ICG Women's Scottish Tier 2
Brighton,,ICG Women's South Eastern Tier 3 
Edinburgh Napier,,Men's Scottish Tier 4
Surrey,GU2 7AD,Men's South Eastern Tier 3
Sheffield Hallam,,Men's Northern Tier 4
Liverpool John Moores,,ICG Women's Northern Tier 2
Cardiff,,ICG Women's Western Tier 3
Durham,DH1 3SE,Men's Northern Tier 3
Portsmouth,PO4 8LW,ICG Women's South Eastern Tier 3 
Abertay,DD4 7AA,Men's Scottish Tier 2
Edinburgh,,ICG Women's Scottish Tier 3
Glasgow,G20 0SP,ICG Women's Scottish Tier 3
Warwick,CV4 8AH,Men's Midlands Tier 2
Nottingham Trent,,Men's Midlands Tier 2
Chester,,Men's Northern Tier 2
Royal Holloway,,Men's South Eastern Tier 2
Lancaster,M14 6HE,Men's Northern Tier 3
Hull,,Men's Northern Tier 3
Swansea,,Men's Western Tier 3
Reading,RG6 6UR,Men's South Eastern Tier 3
Southampton,SO50 5PE,Men's Western Tier 4
York,YO10 5NA,Men's Northern Tier 5 
Manchester,M14 6HE,ICG Women's Northern Tier 2
Liverpool Hope,L18 6HF,ICG Women's Northern Tier 3
Leicester,LE2 2LL,ICG Women's Midlands Tier 2 
Keele,,ICG Women's Northern Tier 5
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 5
East Anglia,,ICG Women's Midlands Tier 4
Bristol,BS9 2BJ,ICG Women's Western Tier 3
Cardiff,CF14 3AT,ICG Women's Western Tier 3
Royal Agricultural,,ICG Women's Western Tier 2
Winchester,SO23 0QA,ICG Women's Western Tier 4
Bournemouth,BH23 6BL,ICG Women's Western Tier 4
Aberystwyth,SA48 7BX,ICG Women's Western Tier 4
UWE,,ICG Women's Western Tier 5
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 3
Plymouth,PL6 8BH,ICG Women's Western Tier 3
UCL,W4 2SH,ICG Women's South Eastern Tier 3 
Dundee,DD2 1UQ,Men's Scottish Tier 2
Aberdeen,,Men's Scottish Tier 4
Aberdeen,,ICG Women's Scottish Tier 2
Wrexham Glyndwr,LL11 2AW,ICG Women's Northern Tier 5
East Anglia,NR4 7TJ,ICG Women's Midlands Tier 2 
Canterbury CC,CT3 4AF,ICG Women's South Eastern Tier 2 
Imperial  (Medics),UB3 5AQ,ICG Women's South Eastern Tier 2 
Imperial,TW7 4NQ,Men's South Eastern Tier 4
Roehampton,SW15 5JQ,Men's South Eastern Tier 3
Essex,CO4 3SQ,ICG Women's South Eastern Tier 3 
Strathclyde,G33 6ND,Men's Scottish Tier 3
Edinburgh,,ICG Women's Scottish Tier 4
St Mary's,TW11 9BE,Men's South Eastern Tier 2
Harper Adams,,Men's Midlands Tier 3
Bristol,BS9 2BJ,Men's Western Tier 3
Sheffield,S8 8PS,ICG Women's Northern Tier 2
Hertfordshire,,Men's South Eastern Tier 4
Surrey,GU2 7AD,Men's South Eastern Tier 1
Bournemouth,BH23 6BL,ICG Women's Western Tier 2
Reading,RG6 6UR,ICG Women's South Eastern Tier 2 
Liverpool John Moores,,Men's Northern Tier 2
Cardiff,CF14 3AT,Men's Western Tier 2
Sheffield Hallam,,Men's Northern Tier 2
Leeds,LS16 5AU,Men's Northern Tier 3
Bath,BA2 7AY,Men's Western Tier 3
Cumbria,LA1 3DY,Men's Northern Tier 4
Hull,,Men's Northern Tier 5 
Newcastle,NE12 8AD,ICG Women's Northern Tier 2
Leeds,LS16 5AU,ICG Women's Northern Tier 3
Loughborough,LE11 3TU,ICG Women's Midlands Tier 2 
Cardiff Met,,ICG Women's Western Tier 3
Southampton,SO50 5PE,ICG Women's Western Tier 2
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 3
Birmingham,B15 2GR,ICG Women's Midlands Tier 3
Nottingham Trent,,Men's Midlands Tier 4
Portsmouth,PO4 8LW,ICG Women's South Eastern Tier 5
Exeter,EX4 4QN,Men's Western Tier 2
Liverpool,L18 6HF,Men's Northern Tier 2
Chichester,PO19 6PE,Men's South Eastern Tier 2
Exeter,EX4 4QN,Men's Western Tier 3
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 3
King's College  (GKT),SE23 1NW,Men's South Eastern Tier 3
Kent,CT2 7SR,Men's South Eastern Tier 1
King's College,SE23 1NW,Men's South Eastern Tier 5
Chester,,ICG Women's Northern Tier 2
Edge Hill,L39 4QP,ICG Women's Northern Tier 3
Manchester,M14 6HE,ICG Women's Northern Tier 4
Manchester,M14 6HE,ICG Women's Northern Tier 4
York,YO10 5NA,ICG Women's Northern Tier 4
St George's,,ICG Women's South Eastern Tier 2 
UCL,W4 2SH,ICG Women's South Eastern Tier 4
Imperial,UB3 5AQ,ICG Women's South Eastern Tier 4
Royal Holloway,,ICG Women's South Eastern Tier 4
Leeds Trinity,,ICG Women's Northern Tier 5
Plymouth,PL6 8BH,Men's Western Tier 4
Anglia Ruskin,CB3 0EQ,Men's Midlands Tier 4
Lincoln,,ICG Women's Midlands Tier 3
Edinburgh,,Men's Scottish Tier 4
Salford,WA15 7LU,Men's Northern Tier 3
Salford,WA15 7LU,ICG Women's Northern Tier 3
Northumbria,,ICG Women's Northern Tier 5
Sussex,,ICG Women's South Eastern Tier 2 
Canterbury CC,CT3 4AF,ICG Women's South Eastern Tier 4
Canterbury CC,,Men's South Eastern Tier 4
Sheffield,S8 8PS,ICG Women's Northern Tier 1
Reading,RG6 6UR,ICG Women's South Eastern Tier 3 
Aberdeen,,ICG Women's Scottish Tier 5
Loughborough,LE11 3TU,Men's Midlands Tier 2
Gloucestershire,GL2 9DW,Men's Western Tier 2
Nottingham,NG7 2RJ,Men's Midlands Tier 3
Southampton,SO50 5PE,Men's Western Tier 3
Northampton,NN3 7QL,Men's Midlands Tier 4
Hull,,ICG Women's Northern Tier 3
Newcastle,NE12 8AD,ICG Women's Northern Tier 3
Oxford,OX4 1SR,ICG Women's Midlands Tier 2 
Bath,BA2 7AY,ICG Women's Western Tier 2
Hartpury,,ICG Women's Western Tier 4
Bristol,BS9 2BJ,ICG Women's Western Tier 4
St George's,,ICG Women's South Eastern Tier 5
Roehampton,SW15 5JQ,ICG Women's South Eastern Tier 5
Worcester,WR3 7SW,ICG Women's Midlands Tier 3
Cardiff Met,,Men's Western Tier 2
Robert Gordon,AB24 5RU,ICG Women's Scottish Tier 5
St Andrews,KY16 9DY,Men's Scottish Tier 3
Dundee,DD2 1UQ,ICG Women's Scottish Tier 4
Birmingham,B15 2GR,Men's Midlands Tier 2
Essex,CO4 3SQ,Men's South Eastern Tier 2
Bath Spa,,Men's Western Tier 4
Sheffield Hallam,,ICG Women's Northern Tier 2
Cambridge,CB3 0EQ,ICG Women's Midlands Tier 2 
Nottingham Trent,,ICG Women's Midlands Tier 2 
Cumbria,LA1 3DY,ICG Women's Northern Tier 5
Surrey,GU2 7AD,ICG Women's South Eastern Tier 4
Imperial  (Medics),UB3 5AQ,ICG Women's South Eastern Tier 5
Kent,CT2 7SR,ICG Women's South Eastern Tier 5
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 4
Abertay,DD4 7AA,ICG Women's Scottish Tier 2
Glasgow Caledonian,G40 1HB,Men's Scottish Tier 2
Glasgow Caledonian,G41 4LB,ICG Women's Scottish Tier 5
Edinburgh,,ICG Women's Scottish Tier 1
Durham,DH1 3SE,Men's Northern Tier 2
York,YO10 5NA,Men's Northern Tier 2
King's College,SE23 1NW,Men's South Eastern Tier 2
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 2 
Portsmouth,PO4 8LW,Men's South Eastern Tier 4
Edinburgh,,Men's Scottish Tier 3
Nottingham,NG7 2RJ,Men's Midlands Tier 3
Sheffield,S8 8PS,Men's Northern Tier 1
Loughborough,,ICG Women's Midlands Tier 1
Derby,DE22 1JD,ICG Women's Midlands Tier 3
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 5
St Andrews,KY16 9DY,ICG Women's Scottish Tier 4
Cardiff  (Medics),CF14 3AT,Men's Western Tier 2
Queen Mary,,Men's South Eastern Tier 2
Newcastle,NE12 8AD,ICG Women's Northern Tier 1
Edinburgh,,ICG Women's Scottish Tier 5
Bolton,BL1 5BP,Men's Northern Tier 5 
Queen Margaret,,ICG Women's Scottish Tier 5
Derby,DE22 1JD,Men's Midlands Tier 3
Edinburgh,,ICG Women's Scottish Tier 3
Aberystwyth,SA48 7BX,ICG Women's Western Tier 4
Abertay,DD4 7AA,ICG Women's Scottish Tier 2
Glasgow,G20 0SP,ICG Women's Scottish Tier 2
Glasgow Caledonian,G40 1HB,ICG Women's Scottish Tier 4
Dundee,DD2 1UQ,ICG Women's Scottish Tier 1
Swansea,,ICG Women's Western Tier 3
York St John,,Men's Northern Tier 5 
Swansea,,Men's Western Tier 2
UWE,,ICG Women's Western Tier 1
Gloucestershire,GL2 9DW,ICG Women's Western Tier 5
Stirling,FK9 4LA,Men's Scottish Tier 2
Aberystwyth,SA48 7BX,Men's Western Tier 3
Reading,RG6 6UR,ICG Women's South Eastern Tier 1
Glasgow,G20 0SP,ICG Women's Scottish Tier 3
Brunel,UB8 3PH,Men's South Eastern Tier 2
Lancaster,LA1 4YQ,Men's Northern Tier 1
Southampton,SO50 5PE,ICG Women's Western Tier 1
Nottingham,NG7 2PS,ICG Women's Midlands Tier 1
Liverpool Hope,L18 6HF,ICG Women's Northern Tier 3
Swansea,,ICG Women's Western Tier 3
Surrey,GU2 7AD,ICG Women's South Eastern Tier 4
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 3
Manchester,M14 6HE,ICG Women's Northern Tier 1
Robert Gordon,AB24 1XP,ICG Women's Scottish Tier 2
UCL,W4 2SH,Men's South Eastern Tier 3
Sussex,,Men's South Eastern Tier 1
Canterbury CC,CT3 4AF,ICG Women's South Eastern Tier 2 
Kent,CT2 7SR,ICG Women's South Eastern Tier 3 
Arts London,E20 3AD,ICG Women's South Eastern Tier 4
Imperial,UB3 5AQ,Men's South Eastern Tier 4
UCLan,PR2 1SG,ICG Women's Northern Tier 3
USW,,ICG Women's Western Tier 2
Dundee,DD2 1UQ,ICG Women's Scottish Tier 1
Strathclyde,G33 6ND,ICG Women's Scottish Tier 1
Bristol,BS9 2BJ,Men's Western Tier 4
Sheffield,S8 8PS,ICG Women's Northern Tier 4
Wrexham Glyndwr,LL11 2AW,ICG Women's Northern Tier 5
UWE,,ICG Women's Western Tier 4
Bucks New,HP7 9HN,ICG Women's South Eastern Tier 4
